Family;Genus;spName;DensiteBois;logSLA;Hauteur;MasseGraine
Anacardiaceae;AnacardiaceaeIND;AnacardiaceaeIND_sp.B1;0,4614000000;2,48550384299775;10;3
Anacardiaceae;Anacardium;Anacardium_spruceanum;0,4601000000;2,73458365912904;40;4
Anacardiaceae;Astronium;Astronium_lecointei;0,6960000000;2,53332470051892;50;4
Anacardiaceae;Astronium;Astronium_ulei;0,7377000000;2,46186898172098;52;4
Anacardiaceae;Tapirira;Tapirira_bethanniana;0,5832950000;2,29249486993332;50;3
Anacardiaceae;Tapirira;Tapirira_guianensis;0,5616500000;2,49396816437712;25;3
Anacardiaceae;Tapirira;Tapirira_obtusa;0,4643000000;2,44431186822646;35;3
Anacardiaceae;Thyrsodium;Thyrsodium_guianense;0,6125500000;2,07891270117540;35;4
Anacardiaceae;Thyrsodium;Thyrsodium_puberulum;0,5200000000;2,21988262070796;34;4
Annonaceae;Annona;Annona_prevostiae;0,2800000000;2,51072734940974;10;2
Annonaceae;AnnonaceaeIND;AnnonaceaeIND_IND;0,5200000000;2,78584991718117;10;2
Annonaceae;Duguetia;Duguetia_calycina;0,6700000000;2,54195102683956;10;2
Annonaceae;Duguetia;Duguetia_surinamensis;0,7577750000;2,56176342910623;30;4
Annonaceae;Fusaea;Fusaea_longifolia;0,6300000000;2,49674110743500;12;3
Annonaceae;Guatteria;Guatteria_anthracina;0,4607000000;2,19341712100964;52;3
Annonaceae;Guatteria;Guatteria_brevicuspis;0,5164000000;2,13992985752171;50;3
Annonaceae;Guatteria;Guatteria_guianensis;0,5784500000;2,21780277769588;15;3
Annonaceae;Guatteria;Guatteria_sp.B1;0,6387700000;2,71060944137246;50;3
Annonaceae;Guatteria;Guatteria_wachenheimii;0,5549000000;2,39737012137371;50;3
Annonaceae;Oxandra;Oxandra_asbeckii;0,7329800000;2,42447491060308;18;3
Annonaceae;Pseudoxandra;Pseudoxandra_cuspidata;0,5662000000;2,77750851250008;10;2
Annonaceae;Rollinia;Rollinia_elliptica;0,4007300000;2,70005597248158;10;2
Annonaceae;Tetrameranthus;Tetrameranthus_sp.;0,5225300000;2,12116058186614;52;1
Annonaceae;Unonopsis;Unonopsis_perrottetii;0,6862000000;2,75394067617294;53;3
Annonaceae;Unonopsis;Unonopsis_rufescens;0,5852050000;2,69410077086042;18;3
Annonaceae;Xylopia;Xylopia_frutescens;0,6969350000;2,57994722877546;50;2
Annonaceae;Xylopia;Xylopia_nitida;0,5865000000;2,26273918444685;34;2
